title,genre,budget,runtime,year,month,revenue
Oliver Twist,Crime,50000000,130.0,2005,9,42093706
X-Men: Apocalypse,Science Fiction,178000000,144.0,2016,5,543934787
Man on the Moon,Comedy,82000000,118.0,1999,12,47434430
The Tree of Life,Drama,32000000,139.0,2011,5,54674226
The Simpsons Movie,Animation,75000000,87.0,2007,7,527068851
Rio,Animation,90000000,96.0,2011,4,484635760
The Nutty Professor,Fantasy,54000000,95.0,1996,6,128769345
Hearts in Atlantis,Drama,31000000,101.0,2001,9,24185781
Stone Cold,Action,0,92.0,1991,5,0
Secretariat,Drama,35000000,123.0,2010,8,60251371
The Glimmer Man,Action,45000000,92.0,1996,10,0
Chicago,Action,45000000,113.0,2002,12,306776732
Dangerous Liaisons,Drama,14000000,119.0,1988,12,34670720
Evolution,,0,81.0,2015,9,0
Elf,Comedy,32000000,97.0,2003,10,173398518
Secondhand Lions,Comedy,0,111.0,2003,9,0
The Pink Panther,Action,0,93.0,2006,1,0
X-Men,Adventure,75000000,104.0,2000,7,296339527
Thor: The Dark World,Action,170000000,112.0,2013,10,644571402
Howl's Moving Castle,Fantasy,24000000,119.0,2004,11,234710455
The Four Feathers,,35000000,132.0,2002,9,29882645
Isn't She Great,Drama,36000000,95.0,2000,1,3003296
Allegiant,Adventure,110000000,121.0,2016,3,179246868
The Avengers,Science Fiction,220000000,143.0,2012,4,1519557910
Hidalgo,,100000000,136.0,2004,3,108103450
Delgo,Adventure,40000000,94.0,2008,12,0
Fled,Action,25000000,98.0,1996,7,17193231
The SpongeBob Movie: Sponge Out of Water,Animation,74000000,93.0,2015,2,311594032
The Boxtrolls,Animation,60000000,97.0,2014,9,108255770
Surf's Up,Animation,85000000,85.0,2007,6,149044513
The Wiz,Adventure,24000000,134.0,1978,10,21049053
Sinbad: Legend of the Seven Seas,,60000000,86.0,2003,7,26288320
Meet the Deedles,Animation,24000000,93.0,1998,3,4562146
Made of Honor,Comedy,40000000,101.0,2008,5,84601681
Mr. 3000,Comedy,30000000,104.0,2004,6,21800302
Pride & Prejudice,Drama,28000000,135.0,2005,9,121147947
The Legend of Bagger Vance,Fantasy,80000000,126.0,2000,11,39459427
Tango & Cash,Action,55000000,104.0,1989,12,63408614
Beloved,Drama,0,172.0,1998,10,0
Against the Ropes,Romance,39000000,106.0,2004,2,6614280
The Game,Drama,50000000,129.0,1997,9,109423648
27 Dresses,Comedy,30000000,111.0,2008,1,160259319
Lethal Weapon 4,Action,140000000,127.0,1998,7,285444603
Miss Potter,Drama,30000000,92.0,2006,12,35078241
Dawn of the Dead,Fantasy,28000000,101.0,2004,3,102356381
Kiss of Death,Action,40000000,101.0,1995,4,0
Hancock,Fantasy,150000000,92.0,2008,7,624029371
The Fast and the Furious: Tokyo Drift,Action,85000000,104.0,2006,6,158468292
Bogus,Fantasy,32000000,110.0,1996,9,0
30 Days of Night,Horror,30000000,113.0,2007,10,75505973
The Last of the Mohicans,Action,40000000,112.0,1992,9,75505856
Gladiator,Action,103000000,155.0,2000,5,457640427
Last Holiday,Adventure,45000000,112.0,2006,1,38399961
Mickey Blue Eyes,Comedy,0,102.0,1999,8,0
About Schmidt,Drama,30000000,125.0,2002,12,105834556
Freaky Friday,Comedy,26000000,97.0,2003,8,110230332
Alex & Emma,Comedy,30000000,96.0,2003,6,15368897
Curse of the Golden Flower,Action,110,114.0,2006,12,0
The Giver,Drama,25000000,94.0,2014,8,66980456
Paul,Adventure,40000000,104.0,2011,2,97552050
Grindhouse,Thriller,67000000,191.0,2007,4,25037897
The Curious Case of Benjamin Button,Fantasy,150000000,166.0,2008,11,333932083
Tears of the Sun,Action,70000000,121.0,2003,3,85632458
Date Night,Comedy,55000000,97.0,2010,4,152263880
Savages,Crime,45000000,131.0,2012,7,82966152
Straw Dogs,Drama,25000000,110.0,2011,9,10324441
The Twilight Saga: Breaking Dawn - Part 2,Adventure,120000000,115.0,2012,11,829000000
This Means War,Action,65000000,103.0,2012,2,156974557
Abduction,Thriller,35000000,106.0,2011,9,82087155
The Pacifier,Action,56000000,95.0,2005,3,113006880
Wyatt Earp,Drama,63000000,191.0,1994,6,25052000
The Watcher,,33000000,96.0,2000,9,0
Skyfall,Action,200000000,143.0,2012,10,1108561013
"I Love You, Man",Comedy,41000000,105.0,2009,3,91636986
